sirqitagit,ssppjxpxoo,trhllqlqjn,uhdulqzfaa,chrchgjamo
nqnzanbzqf,vbttqvoxvx,krtsdaxjge,qnicagyxjc,bjvqscmtbx
Cat,DOg,0.0825,0.438,634
0.1035,663,dOG,hytngoqayb,vqafpfpecm
0.226,0.076,ascsebkfvi,doG,-659
-550,958,arioukwlev,fckxnvkwjl,mtrtoyphbo
teiqercbgt,bdzrtafmvj,yvpjuqjaio,dOg,-291
cnkuigbgny,664,-489,jevdnlqyfj,DoG
-0.126,CaT,414,Dog,ylgqpsnqmp
cat,0.061,-528,-0.4455,sakcvqhrpl
zczhcfeqaf,ugnnfpdelg,ckdadjorqx,-0.4095,jkjjcvsexo
niclnxzewz,0.0165,0.148,itrbhkagcj,-406
356,-164,-850,fssqwrzoyw,dOG
lxdokmgotl,-0.481,dog,-179,0.37
tjggwrmiff,0.2745,doG,fthslgqhnj,oxnmfvgxat
908,-0.179,rhqomslcub,awxnibiomb,871
0.19,Dog,0.323,mfleeodlck,dOG
0.434,-0.3885,rcsrybpndo,666,-698
DoG,0.403,zawqvcdarg,263,-837
wyogdjtdqr,yrupckidfm,CaT,rwqbnigmjy,-0.1755
-0.1045,0.031,-0.4135,-0.3715,-314
380,cAT,0.3085,896,269
744,5,ybotwiprxg,0.4105,-42
-921,-187,tbbkwgnizk,150,0.3385
yomyaihlbu,-970,gwmmgjbjtt,0.0845,ufsiqkxfuu
njmdrnmuex,982,-544,yiywybvivg,0.4125
56,0.162,lipsocfgss,55,-0.033
-830,-0.2775,yaskcrwymt,200,353
-436,0.2585,-0.2405,eepvetoaqp,-108
cAT,0.2985,0.356,dOg,246
rsfaugshpa,0.2375,-136,0.208,26
-0.0895,dog,991,-643,605
regdkwlkcx,dog,-0.1505,elvrpoyeqa,0.228
-672,lkktlzovvz,rnjitetfxu,DOG,-0.492
pqzltezjxd,ogmnbyfwpy,txtixkgcip,skvtkwjlne,660
qgskfkjyrz,0.172,cwbuovpdtz,DOG,-252
-894,980,aiblsydfzz,-0.0385,zblhdnaxkq
rjjvnctvdh,-868,0.362,-623,lzzdawfkwc
tjapdxzwik,dOG,CAT,-0.106,dzkjbkrzul
Cat,cAT,Dog,-0.2545,-0.258
887,DoG,605,-597,0.2675
980,801,Cat,DOG,0.43
CAT,576,-213,wmwezrjlre,-149
360,-0.275,jvgkttltlu,Dog,0.171
uveperqccu,CAT,0.013,ydrzosjbyq,qdteoxojer
58,caT,CaT,Cat,0.0895
