qgwaipqqry,chbyubslvn,zvzqipyvps,pET,fzzuzmtxgc,fucrzxvxro
CAT,480,-860,CaT,-0.064,0.2205
-599,caT,dog,rorcyyccxv,-0.4885,DoG
-978,211,dOg,CaT,815,ouuxizafkv
yzwrigelbf,0.293,aqdekpzctk,wcgyaghlqt,512,hpalqcckyb
534,0.4765,0.054,doG,-0.388,lcozvyxqjw
-845,-0.357,hnzxorydjy,cat,CAT,pqmjjbzmjg
cufyqzlxhl,gkkdxxknnc,-0.305,cAt,rbtrqytben,rskhmtezuw
-907,lhftriwzgl,-928,DoG,-0.1685,-413
0.0135,advwpyuvab,-615,Dog,-568,-0.352
apsigkjmnt,mlxukudhxt,bxommxhige,0.4305,-687,rnivuceahu
-0.3035,dvrigizgjt,0.295,caT,cqzmfcdoos,qtosemqczw
-318,agoeyawvnd,dog,caT,14,0.4665
ypvtabagyq,dOg,649,cat,59,dOG
439,-252,dog,cat,CaT,-0.323
DOg,hrkfcekuvr,pfzqfxowwg,DOg,0.1325,103
bynynnahti,dOG,tqnsagtone,DOG,jplwyihfjd,0.2695
809,mdzdwhjcnu,94,dOG,-465,-429
-433,-82,cAT,CAT,-0.3345,-0.143
-37,dOG,hpohswvbsu,unkefscofo,DoG,0.193
qzlirpzyvm,doG,DoG,dog,-0.489,875
-0.1225,evpswssysq,jqkomgsntr,dog,zvjsbbaroq,CaT
881,-0.033,252,cAt,cacbbydmwn,-177
-327,whmnulapaf,580,443,rtwngubdpi,0.3715
405,lpzmorqnzo,dOG,dOG,-689,-315
0.033,-499,caT,Dog,dOG,590
768,553,rhwfyplnuz,dOg,343,rprfgpujou
ogvqsgrboh,-283,-0.069,Cat,-352,0.3735
898,-542,749,Dog,caiqzphmtl,doG
730,yzvrtligzn,-0.408,cat,-232,-96
-430,-671,lahqsiotua,cat,cAt,-0.1785
-0.292,vritvxygvh,0.396,hanohwecmg,452,0.4315
-0.291,-614,DoG,cAT,xgdkxltcej,ijieqenoyl
996,0.4505,cAt,rjqgkbafje,459,-0.126
-249,cat,201,-0.373,agaecugaoh,assjszjaau
-964,xkentlvujc,0.3915,214,54,-0.3535
-0.02,0.103,DoG,cat,0.0825,0.321
775,boiajrrrnn,qdocbcigub,DoG,-0.2315,bhwnhswysu
doG,DoG,hjllwdsazu,89,-720,0.223
-524,-819,xbououmaai,cAt,387,965
fpzwbizeka,DOg,wcraeduohf,cAT,-979,DOG
42,CAT,-871,-842,-0.2895,0.181
lvexioqnku,-0.047,0.003,dOg,-0.4035,dog
kujrckneva,zqycfsgaet,cAT,dsmrqrlafo,-0.4435,-964
