pEt,uyshxnysnz,gdecwpzpld,skrdhowjuw
CAt,ehjqfwsymr,0.439,bhxjfxfsuj
cAT,-0.0875,wwgwmglbcb,0.3555
CAT,qcsglgvnsn,syodjworhs,cAt
yziapivbay,0.078,-0.2925,974
CAT,0.4865,doG,0.2075
dOg,-591,-0.3345,-481
CAt,ejoagwzweb,ykzwhvtyxs,sihaygqzob
cAt,0.464,caT,ddbosmuwft
DOG,dOG,0.1795,siizmofopb
316,wxlhjmemdq,CAT,147
CAT,htfjcwvyjk,DOG,663
DOg,-0.2205,dOG,0.405
dOG,atajhvpgzj,DOg,Cat
DoG,-0.2,-0.0795,DoG
cAT,0.3915,nkczilcbor,cat
CaT,dog,cbmwibneqf,ttvdjmqxmn
DoG,-727,dchvlmskmj,170
caT,-184,-0.1495,DOg
Cat,634,ggaiirhwng,0.1975
dOG,DOG,Cat,yyiptmbjik
cat,bukofqouzl,-590,0.313
Dog,0.3425,zwtkzdmxpy,0.433
dog,0.0815,CAT,861
