uglrxzbsyg,dzdhaefpgb,bibrkojbtr
0.2915,Dog,cAT
0.208,DOG,-0.254
invxitybwo,DoG,221
caT,0.0565,bekazgwdsn
84,-0.4925,qgjgtsxlvm
-0.075,-0.062,-715
jpzofdojek,-0.4695,0.3545
537,0.0425,caT
-0.0515,0.1945,CAT
dOg,-0.4295,dog
-0.456,0.087,894
adkpbomtmz,0.4125,-634
Cat,-0.3535,0.191
371,CaT,CaT
-0.4875,304,0.1035
0.443,nwaogzdwwn,doG
DOG,0.2825,-0.4715
0.106,iomnimxsbt,0.491
puntsfklpc,bxodiwrwte,139
-63,312,slckgjwsrl
0.114,0.0295,zuvboizwea
417,-52,vokfddmvkt
atbvzfeheh,fawcpceovf,Cat
caT,-725,jzfxvndzte
CAt,484,-0.3135
332,lfilcyvhiy,gkqlnzuoqz
-0.4365,-797,mzvlgiefnf
497,uchsbiahlw,bukiezkohh
-85,dOg,bsgrvmgfsf
xdyqkajudx,vexaqiurhy,-758
edouyttgzw,qufkzhzsvu,cat
-154,-0.174,-101
-473,cAt,-599
-0.023,463,-325
doG,beyculpquu,cAt
891,-846,688
920,nnnpynczxq,dzckzvbhyb
caT,ekwgedtrzu,cAt
nmfmtyeqmi,454,0.351
-0.4875,40,CAT
gcuxvrpvst,931,cAT
doG,0.324,-0.3085
kzwqgcbvbs,135,zjrytaxztk
-938,-0.4175,DOG
581,-61,utkhuunhvr
0.049,DOg,umjrcmufnj
yrqmyxldbk,wcrmqopvio,pejanwmyla
487,0.111,0.4215
0.166,0.285,caT
-0.1965,0.282,-0.459
jauujchfxt,-599,gsiizpksnt
-0.272,-198,blxvxnxcyo
0.444,utveztndbw,Dog
lhdrswlmqt,DOG,0.3085
CAT,zbztpuysso,-190
DOG,0.0305,yjdwopkeug
CAT,-0.344,62
26,0.261,hlphtrjqgy
dog,bsucqtmsdu,-0.095
-0.246,762,-0.1605
kvlmocmsiq,-114,DoG
190,-33,0.2885
630,-231,0.1745
dOG,0.01,dOG
dOg,-638,zfyswhwqtp
-0.075,-297,nlgbdagcvc
cAt,0.3905,-915
0.1675,DOg,-756
dOg,-466,-378
-0.178,-343,ozzkzdbrri
-774,-765,-657
-0.1405,260,0.4065
zdqmnvsazf,-0.387,-582
-410,0.3065,xvcbqvbwcl
xxranyldsi,0.044,Dog
doG,85,-0.032
-0.003,625,73
81,qucrtrpeug,-476
dumntqzquh,doG,768
