jdvjujuxye,rdfvmqtwxh,njqmmxnkvm,PET,ojlpsnulll,qzpkhyrkja,yszbltbifp
0.2585,422,-0.4155,dOG,ozxpcrdusy,motoojhtfo,ydlvxyrcvk
-884,oswnirfffd,mqilexfbjm,DOg,-0.021,xxyttqxojg,278
396,650,ziloldkscq,DoG,qzxkeczxsd,-0.2525,0.3825
-0.0095,-13,cAT,dog,-770,285,-0.2615
qvycecbgmz,pvwumqhwya,DOg,dOg,-0.2975,DOG,0.3845
0.0875,0.3845,DOG,dOG,cAT,kwfsuwirdx,jnfuuwzlon
0.3785,zgnxuqhttq,ogtuitfaku,Cat,dog,-0.476,6
0.301,-0.058,0.2695,CaT,nroptxnjlc,fxqlxbxdcd,-715
346,umaowqugly,-335,DOG,DOg,373,nsjabqybom
baoqfycuvw,xjcvwgmfhn,nzgqkgohid,DOg,-0.099,-390,0.0205
886,wugibjatcd,-34,dOG,bkmiaawzxy,-461,-144
CAt,mfucrkmevw,uobgbobhei,CAT,oysdtxmaqa,DOG,897
nsanqlogwr,nsgopzvbje,psnnxyzhhm,CAt,0.2995,dOG,Cat
iaupbfrdip,ggdfglwdjt,564,doG,0.313,Cat,czwkgxrhky
618,cAT,209,cat,-0.1995,287,-0.443
393,CAT,lnkilfpcqf,cAt,0.062,-170,0.458
DOG,-0.073,-421,CaT,-0.105,-911,-130
0.331,-39,-921,yuvzeaxykm,548,irgqobjmdg,0.481
0.1005,0.339,417,DOg,226,okixaajrne,mymuvkldoc
-879,-0.4955,421,cAT,-0.2915,jdbxpbgvwf,499
890,Cat,dOG,-0.49,lnvdzmxuoe,shyfanuncw,-261
-682,0.1315,cAt,Cat,-0.2075,0.2615,0.484
0.0385,0.0265,-886,-0.3305,nkgpuqhmwz,dog,yuqdklkqqb
68,DoG,esywegagsu,CaT,0.2765,dOG,dOG
CAT,dOg,-0.0255,DOG,lifnnlhvbq,doG,dOG
snhelzvhik,-668,-283,Dog,872,-320,xjwvaysxif
vdrlfesdpy,lcaocgktnw,lwysrdqlli,cAt,110,CaT,0.453
-0.2975,cjwugdzcqm,vjcdtsxhrb,574,-752,0.2435,homqwyqddm
-650,-0.3065,caT,973,521,-0.2005,-0.287
101,0.4785,653,840,CAT,-0.3455,xoljkmlpew
-159,yadsafrftc,-291,caT,-0.4125,-175,ahiliyexsl
dog,-0.0705,-849,dog,-724,541,0.151
rgxkeczipk,-537,-768,DOg,-0.249,ytlgrhehys,qazqvrxhov
vbgtobpxer,896,0.456,dOG,0.2055,340,729
htmjivrkwd,tdadkpzqog,0.4375,DOg,-875,isljgdvqwt,vbezpzxxsf
cat,-508,hsnxfsafkz,CaT,569,DOG,-0.221
yfbzefqiqx,efvvtgcmee,-879,DOG,0.2645,bvzojrjmso,DOg
134,304,lgtnfspoxq,cAt,0.3125,kznynrsyuf,-0.1225
-0.304,796,-526,0.168,-974,769,caT
0.4905,nyckrfbzzp,cAT,CAT,CAT,astilzpemb,-708
321,dOG,cAt,dOg,cAT,-676,Dog
cat,ukooluzawz,-0.293,-0.0835,CAT,CAT,sjakjsgyrp
-0.064,ztbmwbvvcr,11,kkkzkjqcux,-708,-0.185,-0.068
229,nrqxuyynwa,-682,DOG,-617,cAt,-0.343
-0.2665,-0.301,pdvaoyphip,CAT,dywjekaqqk,0.337,-902
0.243,-0.085,dOg,-0.2925,tfbbztwqme,zyxlecgnsm,dvhdrqfxfx
dOg,0.1225,xkujybfewa,0.4265,Dog,-0.3875,qjehwbtcsb
-618,-552,760,CAT,muwbeusjbj,-327,681
-0.449,-0.294,CaT,CAT,cbuedlfgvk,-0.23,0.0255
-380,51,uqdwpsnpjz,-431,-0.0685,hzyqxwhdpz,CaT
0.214,-808,802,bfgrkjxytt,caT,949,tnsqpjieki
0.3535,wjeootrwft,-0.1035,741,fominpmjth,-464,-0.306
0.419,0.05,pfuucotccf,aqsqnvaehd,58,ohjyssdvcb,467
-0.0075,DoG,koottrcqnp,CAt,rxgmoovpmd,0.373,-164
-352,0.278,tqzdzltnyl,DOG,xmkbrjpfor,olfvpoiege,488
-0.2055,-0.292,0.0775,CAt,0.14,nnmzgyvxsf,0.119
ohuaqxbwex,bznqlthnub,pmqjqsmltx,doG,0.1665,625,urkbnfcniw
-472,-603,0.4455,uvqtrcshcy,748,-36,-985
fdkvlllgae,Dog,0.299,CAt,cat,cAT,doG
-0.0225,CAt,qkzwcvsjrq,dog,-125,-561,ktnmtjkagm
qzynpvzkrz,-0.127,ohxdyneauz,dog,dOG,hnxuwodxpv,-0.41
-611,rtyddhuaez,-0.3215,doG,0.2235,0.108,cayqscucow
cAT,kmnenhspbc,mhctqizhiv,Cat,743,0.3145,0.276
-571,0.0405,-831,DoG,-511,zewbpqnhki,cktzokhfez
0.2365,fdmihspnpg,979,vervvyianh,-0.2885,wcftxjkggf,DOg
654,CaT,rfjvluqyff,Dog,yhwdegapzs,-782,0.11
0.341,hrmkrfwyiw,dOg,0.2135,0.351,-0.4,syosjufwoj
-0.113,lyqmxcawyb,uybieqwwqj,Cat,-657,caT,dOG
tqluortnhl,-662,713,CAT,0.021,0.19,cAt
0.1895,-1,nawxktrcua,cAT,cAT,674,0.086
379,785,dOG,DoG,0.3305,-753,vysvbmzamt
-0.214,-207,0.186,caT,DoG,CAT,377
DOG,-0.4255,CAT,0.181,rvbymbfcov,DOG,0.464
0.202,jxdkamhblp,dOg,jyycrcvtdf,cwcoacoqop,qonpiavywt,dOG
0.272,DOg,0.0715,dbtwmffnep,0.213,0.4525,-238
945,ejexukufph,DoG,zmpkjeafsd,Cat,fvsetevnrr,dOg
0.271,-15,pfwilxqxfa,Cat,-0.1045,-609,133
-0.423,-751,utctcnkajv,-0.445,-0.195,Dog,xegqvmxowz
fzqoweasmw,-0.1555,-641,caT,alwkptmkvg,-0.054,-0.189
djvvmrhrvj,jkzelebdkd,-0.2525,dOG,wusqwpgfzx,176,36
0.0405,DoG,-0.1905,DoG,CAt,owutlkuybi,caT
0.4465,-0.4015,-0.409,DOG,0.1475,-522,ewoynnfjzz
rqgrtdsczl,kjazjgyxwf,caT,nedekghkqk,-0.2185,aungawqjfq,845
caT,ndnxhzilib,catzqichnx,Cat,rncvybyfui,alibkjtqei,0.209
-999,ajeilwitzd,ugmcqbomca,vthcdpztiu,13,vcaoavqcqx,wswocxxpva
zuwgxivotl,-0.4325,lxxznkescx,cAT,xqvwskxmud,ngpydlpiwy,0.3065
-821,0.303,DOg,dpojhdrlnj,85,Dog,695
972,-0.119,0.1385,DOg,redhvqxpek,-679,-110
304,348,522,cAT,DoG,0.4405,-921
-0.3675,0.364,-422,DOg,-462,caT,723
-677,-10,-795,Cat,taeowgpdlm,ribgcgfplu,-0.2625
gegkwlsyer,-706,Cat,cAT,yhuzuhjqpa,wcaoqpiuop,641
