izdkmycxzf,xsvxgmdzsm,tjbagnkhvd,rvggemopff,rmrpfimuff,wsfznlpdgm
jnmuwlvcbt,wsyyuffcgv,-832,-120,-132,0.299
CaT,-628,cat,kiiojsrlqe,rrmzpimjgq,jzlpvddpkt
ixvajkkjpo,-0.1665,-51,945,882,324
131,0.2475,-0.4175,-907,mdmodcnwzt,CAT
491,khnbyyhskv,CaT,hhquymjqym,upvpeisxwj,-0.268
vokrrswsar,bhmkdagpao,pkzgfoenuk,dtonxlnees,0.279,fvxnudsxqi
0.266,ilswspwsiy,0.266,bhjyoolxcg,jxybxcfdlc,ixfxpppydq
dOg,981,aibjuepqcq,574,hfhzwjoxti,-615
dOg,-177,-0.4705,CAT,yrgkmuhikg,agbarqvqiq
-179,syqfqrhtrh,768,582,yeugtlvpdn,203
602,-732,xzjrxivgrj,927,ghgzqpksbo,174
360,-0.378,fpfgspsyew,-158,-687,-307
cat,-0.0765,Cat,lzhrswswsj,lrqgcwpyjo,wlkixlyaax
-0.347,0.479,Cat,CaT,vnscytjzwa,753
990,Cat,xusekuwwio,488,-0.146,dpwvhagnkr
-132,udwdydoyhy,uiualebzhg,-762,54,-418
krwraxobhf,qkafgpxhfz,-391,kyevyyifkj,-494,-0.4035
676,0.2665,DoG,-971,lunrvoabld,ulwttbxyyn
-774,400,-162,fkbevhrani,dOg,505
-633,kfwgrnraux,-647,-703,nfbcucheee,318
-97,0.356,sbsfqlgczf,Dog,saordycthx,629
vuagdihexe,Cat,DoG,dog,-593,0.273
mbygxwbubn,0.031,593,-922,-0.237,iuupankxci
omewepzaeh,lxrkkuvdrd,oyzynxksqj,0.235,-0.1825,-0.1225
-0.129,-0.104,0.159,731,caT,qegtqzjghl
DOg,dog,-948,-178,0.1235,-0.226
twpodrdzcv,-0.0895,0.084,-162,0.442,0.091
pwmsfyyygf,-0.094,-0.0725,109,-394,xpfostchvy
-0.3005,267,cat,-0.108,176,0.232
dixgqeqdqe,sfavoevedy,tknkrxnhau,-634,ufoicfbrgo,-538
nungdbhmku,-0.4725,-58,0.289,CaT,dkfquzwxln
CaT,sckroklrew,-0.0165,-0.285,dOg,wiylxcldmw
xqqjeapbgo,vyynoquzdj,0.2895,585,-877,CAT
528,-0.337,-876,0.2085,srpwauzfoy,-319
-288,-0.025,ahlqvbtewi,0.2365,kyomwsxrop,otvdntnsiu
776,hakxsmfkiv,pyfpgbyacv,mkfseeairu,DOG,ohgjgrzgcz
-116,120,CAt,585,135,-0.248
cpzskwelst,528,qzkepnrebf,-0.026,0.47,0.3825
fftobftzls,iyypegntcq,Cat,0.2925,-0.285,-697
0.304,dOg,ldhcsqzsio,-385,-146,634
vxhbsyczdi,doG,0.484,-49,cat,663
-0.349,-983,caT,-0.125,-670,rmsvwpcdmr
-0.18,fqtfjiqxxg,-9,704,0.0165,481
-0.009,-0.462,-0.416,0.4665,-0.3295,bxprkcahyg
-215,-0.2235,0.3285,0.2605,0.065,793
xfrvwhbcge,-755,0.0975,883,kqedgjuupp,-674
kgvsbcjbdf,-0.118,DOG,qqlcmhcnhf,-410,0.1405
497,0.2345,-0.436,-0.2725,cat,-343
-0.055,62,lvjpkurjnd,lqjqtrhweh,CAT,-0.491
-0.379,qmcnvpfxzr,dog,dog,93,slmpwbivco
0.371,vqdvwwytwh,718,DOG,650,194
-128,cAT,0.104,Cat,0.093,0.1205
-0.1125,Cat,627,DoG,mxhlrxbite,bxtjkelswf
CAT,-210,dOG,0.157,-848,xsxaehmncl
340,cAT,rxrsfsdcgi,0.202,xrwweivkbk,0.167
-0.2405,-199,hserhmfhdb,0.0695,dOg,dOg
-373,jhbdwtwpqo,-541,-0.125,skzbuxvznf,qfuvubarvg
qsyqauuaml,-928,-0.0125,0.1645,-0.092,vmipmxgvyi
499,418,mfnvihaolv,uozrtwrdrx,213,-0.386
-0.405,-0.478,ksafulrmre,-814,dOg,cAT
emrftiewwe,CAT,0.4795,dbuzckuaxs,513,287
msrzbhhhoh,626,ahenoqvfyw,sgpqpemlsk,zjfszvziob,dfpzfuaufz
-0.1275,ykcmmoqinp,-0.193,doG,dog,qvioqhtpwz
-328,-57,80,348,dOg,cAt
0.325,-0.0765,-0.196,yuydhfkulb,DOG,0.349
ryiiochsch,-683,ifmnzyuuuk,-0.038,900,wvxbshcrfa
dqgqoygyyd,bfeujkrdeg,10,klggmqubqg,-0.0435,caT
-0.2725,-70,ndmvetadhn,-454,-0.012,zoxxfjhltc
-423,-0.17,-628,-96,cAT,DoG
kmyrzppxrj,-524,dog,dOG,0.063,Dog
yqfmarjvxw,138,631,-613,0.1875,298
285,0.264,0.3965,qbisunjqpd,fpxnfmseks,qmuqoydixs
-0.24,dog,-0.163,-0.4235,jcmoxktoqy,56
737,-826,-261,-0.0075,0.3785,dienvrhahl
Dog,cAt,-165,rzhlsihjqh,0.0635,vmvnkuorgs
438,0.348,330,pdtwdnshgw,474,zmfmrmfcwc
ozgvyekwax,-915,sdgvqohsvb,rzvjhfgoaz,57,713
2,-0.006,plctquggzz,gweibzkfho,ktfkhblvjo,cAT
ozlhsyavgf,-0.2135,-271,-0.3965,gtuxyjqudo,tvsxihcehv
CAt,ijjltbmonn,Dog,-774,-0.265,0.179
0.3585,-621,0.159,whgloxxosd,dhrgiufaeb,socndyqxln
300,oemolpjbfj,hyxmfstxbv,-278,-0.0705,845
wifiqdjjdo,tnsizoqgdv,czuhdinwbu,vvjpnusjar,362,Cat
tuhqekivkp,0.1435,dog,-0.2465,CaT,-405
DoG,unjisiplsq,znamdshqvn,0.1865,167,Cat
tsefwdstmb,0.1345,-833,-0.2575,DOg,cAt
-0.105,837,yswvvxuurc,cdfeyuopan,612,yusinwnwjs
35,472,DoG,qmptwckips,CAt,cAT
