aaytwuqhlr,tjyegvlaex,timsljpirm,auiseefgra,rhpqpswqdt,dhjchtjssq
rorapvwqff,-215,etinrhxwuy,eehbttqplv,izxzbsugod,696
xhbtbpwamp,-0.2145,-359,-0.3205,0.2685,362
-0.497,uhoniftsra,76,cat,-345,cat
581,603,CAT,498,-999,0.1845
-466,bejmkgmenn,cat,163,fvkeyzfbxe,-715
pfuchwqtrz,0.2705,68,cAT,316,0.1565
0.057,fbzpclkwek,0.1885,xkebxvyahq,ruljglakuw,-889
dOG,-0.118,-0.2525,cAt,clfvvijuxp,-0.1645
-0.118,0.292,587,-53,zlcovfueoc,-0.4695
160,0.0945,-0.085,-503,gdgeefoxxn,azltzdgqau
qkhwciywlg,0.4975,hmmvkdywct,0.214,0.323,cat
-0.149,0.3685,djcizbvdnz,-0.314,99,laavnxdmig
-0.247,bdappgngll,657,btqadzpnvb,yltergylbm,azzwbvsnum
-188,sfimvcbuur,rzkfvmhapc,0.2385,igcsfcyjbo,-0.2065
jittggaxne,-507,-0.159,-5,csrsvrmyoj,DoG
-275,gfyynmcyub,-0.2565,-0.162,wyiqnbeqed,-103
doG,dOg,nbcskvfwju,264,-0.138,ptmgcwklfp
452,CAT,-942,DOg,edwzkxycvy,-0.095
CaT,-288,-238,amlxwwwimv,ssklnlsovo,wxupluoysl
kdpmqwhztk,-722,501,656,753,anyqbugiwz
-983,wazwkreslu,caT,-0.159,-637,-645
0.4255,0.305,ddtfxjycke,218,0.093,zlhpcszbbh
ymykhsxlng,doG,177,tlbituvmkm,-0.0745,-529
-438,-0.2965,caT,0.351,Cat,0.021
901,49,oeqwittwwr,cmxzqzmicm,-544,-73
jafkykmazq,pzdresozvp,xcstlwylfg,-126,-516,0.13
CAT,yjeadlblho,0.3015,nfnpuhiiqd,DoG,0.134
cat,793,0.146,0.426,doG,-571
-0.004,rklfheyttv,-209,gylqmpfkfw,CAT,dsncadzcnb
361,jtdxslwwpw,doG,-0.39,uobbgofcno,-263
0.0205,zpcfbklbya,892,-0.296,duyhhbuocw,caT
-877,-514,0.148,xfamhlcnde,mffstktdfg,svqmtvvosx
htajdawsxw,-0.134,-332,Cat,830,cozbbizzlz
-0.103,dog,0.254,0.0685,ixzgwptfsb,-688
cat,715,62,0.2315,wvbycxjrhf,572
-0.494,pnvlmolbwa,826,laahhntwel,-0.4205,DOG
0.2985,-0.2545,pmgtliwony,0.3475,efpmesqvzn,DoG
35,0.406,dOG,668,rmesfidfuq,70
CaT,tjmrnahgyn,-0.108,wzipjenfqu,-178,ratuiyjljf
-0.2665,ckgxhwkoyn,0.0715,eoijecveml,-0.3625,-778
305,ynwgumwzhb,-553,DOg,191,0.101
doG,mlpifwoxvd,doG,nqmmbxttjq,-632,614
CAT,nxczpowtnl,nwrkbafvcu,509,idigcyidfj,kjhguqmhqo
0.065,0.152,gnmjwoearb,-735,783,753
innqjxjdir,Cat,mosbpjbmxv,cAt,cat,gtthuwnjfe
gazvznlxgc,0.4285,0.276,-0.1645,lcdtaeqnaj,0.2595
-590,-0.235,-0.2435,irofvmmvbt,-56,-0.251
0.4365,sxdpxsbfhs,cpnjjhfxkj,-728,734,0.085
0.3245,-0.03,hthfgscrcz,qdyvrvjrie,0.2795,835
608,838,tbwkxodkii,-0.089,-844,dOg
