iqruebzyxo,uslsydecrx,aopmbjfluq,dxbffqdxxp,vfgjgviatk,caztcrgrdo
Dog,hsgudalvmr,-400,ksfcfwbuvj,-0.053,0.063
500,-0.497,-649,-0.012,-0.107,464
DoG,-77,-0.273,dog,ceojfyotyv,nlixxbsqol
713,qaxihwfnni,csrcumxxkl,oozfhygwrs,drdgifagmh,244
-155,fstewjeerq,0.103,-0.345,-731,ftskpspcpp
Dog,617,nnjkjpopgo,jytfgqhruu,-0.006,0.3955
-393,-188,-266,doG,-0.278,dOG
0.2605,-0.419,-0.183,-0.34,mayibfrlgj,0.368
cAt,-223,307,396,-0.278,DoG
-512,-918,Dog,yjhoamylfo,-895,CaT
841,-0.183,dog,-0.112,blshjwqkqh,phwvpaxsnw
-51,kyrwfdgdbr,uyuombdgbv,vzxeoxeifs,zbjnpormht,54
CaT,664,-600,yzsifkiwxj,0.1385,-0.207
0.168,bckfydoibr,0.487,-193,gqtjazaasg,pxrzycfygd
0.4635,jxgwnqdbdx,0.2805,kqskyqpaou,363,tndewkuaox
rnkgvlxoui,-972,DOG,-391,-0.259,drzcoqnnej
-758,pyqkxfdbct,0.3395,owpinrtwvg,0.0645,-0.062
Cat,-0.2945,dOg,-0.047,-0.2835,-0.3105
raxltrpfxt,hnbmtxaoyp,-844,-409,-0.406,0.2075
0.4855,cAT,-0.4875,gglwazubhw,588,-780
mfhulcqdxn,146,yuoidijsjo,314,Dog,CAT
456,-191,-0.432,-292,cAT,-814
bekrwxkvty,0.3395,-200,402,-849,qwllhhkuyi
DOg,qgkipzknnl,CAt,0.0495,DoG,hrjeavuzym
985,410,-310,931,-0.078,178
-515,sioqjjpnot,CAT,-0.1235,-0.223,bapvnoario
jghksptfgj,cat,-0.0605,xybzxfbxww,-756,136
