civmkerdzf,udayeapuvp,pET
lvcvdbezob,wkfddyqsak,cat
vnyskwxpgh,DoG,Dog
416,-0.414,Cat
958,-0.2635,-0.403
319,dOg,DoG
fuwdwovibi,-448,jzsbguyvgt
818,Dog,DoG
-0.2915,guqsavnsun,DoG
0.221,57,doG
-895,289,69
CAT,0.479,487
-922,-203,otdsspzemu
fcitqjxosh,202,cat
cAT,871,dOG
0.37,0.207,-0.212
-0.3005,-312,DoG
0.3665,-565,dOg
-422,dwbjbvnhhq,cAt
88,-761,-409
0.0985,0.4625,Cat
43,-119,886
-0.3545,-473,dog
CAT,-541,-92
0.437,umnjxhnwyb,cAT
0.345,CaT,cAT
yoqkpfgvtl,hybntwxman,Dog
-0.4435,0.158,cAT
826,CAt,cAt
nsxvdjvtpd,vbgqlgmvfz,dog
-858,0.3935,cat
417,0.1335,Dog
669,540,0.216
jwutoldhdz,xhgefrqxif,btxbuifuuc
372,ncwalqdzvm,dOg
egvvifeulc,0.3145,DOG
iytlmrbmgw,DOg,doG
71,-0.4075,CAT
0.0265,CAT,doG
-641,-0.494,605
CaT,0.1405,caT
0.2935,0.2325,cxkqqmtwws
DoG,-0.3945,cAT
-0.2965,0.291,CAt
CAt,-116,doG
dsuosaowre,gnqaynywaa,0.334
ykxjvybtbo,-765,cAt
-445,-413,Dog
owamzyweif,-825,Dog
doG,mdtvfffbxs,978
-121,0.158,946
CAt,-10,dOG
