edtoweylio,uyfprczvdl,codmrurhmi,jjvezsvewu
0.437,doG,-149,456
0.2785,-505,0.0725,0.289
radxaudzsb,cAT,-770,cAt
0.325,0.397,dOg,dog
Cat,0.4735,wijenodlns,dOg
bqnwgrfhse,mcbihxmmsc,CAt,wqkxebkwcd
cAT,cAT,-854,dog
iwghtbbvjx,-448,caT,otcafuppxf
ytdozgynid,Cat,lvihbueijm,-707
-409,-122,366,-0.363
0.212,ffbwbtuzbn,-254,caT
CaT,-0.4315,-0.031,Cat
-382,-149,305,bjtkczijil
uicoujampz,frmudqrxyu,rvhpyyfjlo,-0.126
87,doG,nkoeiykwuo,DoG
153,885,caT,CaT
0.1785,uzaofhnwga,0.1395,DOg
dog,CAt,yypnpgswuc,-114
fhlhfxacfl,-587,uiwbdmtooc,0.2425
CAT,0.1865,dOg,384
cAT,0.075,dOG,CAt
gdvtiomvdu,-378,Cat,-0.36
-550,DOG,-683,edjokunyol
-194,-0.068,630,0.497
388,0.4105,0.0515,0.339
DOG,-0.1605,0.2155,DOG
-745,clwhwpuhiz,-0.061,dOG
xfuijhlldy,-126,ivnujykfmm,-0.1435
-0.396,-531,-812,-595
lfabhrmbno,rarluuawwn,dog,-789
pdjjmrfupr,-591,bfhmvypnzi,-0.34
doG,-498,-0.4405,0.4375
819,0.006,unrznasggb,ulbbrfnpds
-255,xyrdecnjxm,683,rqinrptmwv
0.0085,iychlvgbrm,924,0.3675
iycgrajhug,0.4555,caT,252
doG,kajceijxjl,CAT,bgzchttsxa
0.445,Dog,-0.165,xicjgmtoup
CAT,-100,-0.2835,-0.303
0.465,0.186,itscglkemv,inmbqmfjtc
dOg,wnfdcdufxn,-0.236,CAt
-751,0.06,lvuhkwyzkd,krtzkrbhal
0.283,294,ikylxotgig,-0.1985
-0.1035,-0.0205,duydgbxqea,0.361
470,tcktamuegh,dgzmmwvlwa,920
945,742,dkkgbdwqkf,bhkiwflcki
tbmvrsgpix,dog,731,0.328
40,-369,-845,-948
cAt,ialsdbpyak,0.2905,doG
vgvptlvnlj,-466,soyqylxeqn,-83
soudpwprou,-337,rcpnbthigr,-574
dog,-52,hvmglbgxhi,yvrxavwewe
ylhitstane,-0.4285,-0.107,odgbfkwgju
212,xxrqnjrvum,-20,goocsuapvw
0.408,-0.459,ipjzbdrdmt,-918
dog,cat,-0.296,0.2995
dOg,676,mykusckcry,DoG
dog,662,0.3625,-922
mquyccbuud,-0.43,yreppsdynl,768
-65,ywbdfikdgs,doG,DOG
0.378,-0.1495,698,CAT
DoG,848,0.2255,lzadkjjxpg
781,0.2165,-353,-0.0745
0.0675,-0.2195,0.186,yoijtgyqin
390,cozkhxihgu,-0.423,-0.116
137,bdzzjopplh,doG,CAT
szxnluqafd,nxougncsbp,0.0735,-0.19
viugierqvz,-0.2895,-0.3155,DoG
gnhadalysa,-0.162,nyynjpbbgp,sejmbkxmot
-0.3055,-0.4985,-0.1945,noutwveebl
0.111,-0.4455,mbjwxsjwcn,313
718,-0.0945,0.2705,0.0595
efjetfvbzn,vbvgexqjyb,-686,724
DoG,dog,qbehnmtrru,DOG
dOG,-0.1465,barteuwdpr,-513
190,hiofdhjdfv,jyxaucutzk,-0.0685
0.2915,0.132,0.398,ptrjzjnfet
-557,0.355,mvtdvihcvi,dOG
0.2485,jtkrdjmumf,hbkzqwsmql,cplrxzutca
owlzsdshuc,0.319,-808,500
kunolkcgwp,mmrynyfhoj,tgeeczlhud,765
-0.424,673,-5,kmerfossfs
lznuitbeib,DOg,0.2,dOG
0.0265,flvdiravlm,824,dOG
