iuisozddsj,PeT,sblwpmcxdw,favyolvrmp,vxxsmakclt,vyhznrcjqu,svtidujemd
894,cat,0.498,0.0375,0.101,evwjawhrpt,CaT
-668,cAT,Dog,542,doG,-970,pkyealrorx
919,DOg,joarwwltls,-0.1285,-642,brkepuueqe,-188
dOg,DOg,-0.403,-187,-305,iyfmkahsoe,5
0.4255,-0.224,272,374,ybbgxjbmme,sxgiwjzhbx,Dog
dOG,dOg,-0.362,952,0.304,msdejlrncp,0.292
CaT,cat,0.26,0.05,-0.498,CAt,ahcpvwoaqw
696,DOg,Dog,lxumfjvdja,rronsegkdb,-916,DoG
pypakkdbkm,dOg,0.048,0.373,0.146,-270,0.455
Dog,dog,dOg,iabfjnebpp,862,-651,cAT
0.0615,CAT,ouoolpqeja,453,nzgmuythxq,wkixiixbbd,-899
-0.314,Cat,813,doG,-0.039,0.394,-193
caT,srcemnpgkz,563,-0.077,0.186,Cat,CAT
cat,dOg,0.062,582,CAT,-0.002,ogovjyznwg
kzcjnwakgm,cAT,kjquukbiyw,-0.3695,srclpeigyr,wuobepwaab,-112
-267,dog,0.424,0.3685,-0.485,0.329,-0.189
xfwonwzffl,cAt,-351,ntfrxryyhn,cAt,850,prnkdjbrqr
hfrprvfybh,CaT,luegjyeoiy,cAT,-925,823,-0.1075
-39,DoG,dnjomqptws,-0.314,DoG,nbpqrmexyc,-0.1305
-0.0695,dog,-457,dOG,0.4255,0.103,iefkrnhlxa
-125,CaT,yjfaoywejm,-246,aqrxzsrdob,-0.183,-959
-0.1065,dOg,0.1235,559,CAT,64,-564
207,DoG,Dog,-696,-0.4565,-656,507
cAt,doG,Cat,469,-0.0115,0.0415,0.162
oroimxejej,dog,-0.0745,xowrmypxjv,-0.2315,qkbxbgpcqm,-600
-793,DoG,0.2545,0.309,dog,0.261,552
0.0015,dOG,ioglrndtdm,-0.255,cwxuyhhyml,nhdblowyah,643
ajeoktbtlu,doG,-797,-0.03,yiehhfkygn,-0.3205,leecmyrens
iuuzonmdwx,doG,0.1365,DOg,0.1625,389,0.425
dog,zmduzilnqj,CaT,bmtwwpshaq,-0.4975,0.3145,doG
-0.335,CAT,-0.0265,-0.4685,815,viiuqfxfqg,dOg
0.432,DoG,-0.1415,891,0.1585,0.0385,DOg
-0.0875,Cat,vseddfypnc,-565,qitszsqfrb,Dog,417
exfzyclaop,dOg,hhwrreoipp,cAT,-0.056,CAt,yrakhtgopw
tgzxdyfhrn,cAt,-0.387,xbzvjabgrf,-920,-845,Cat
fxscmknubr,cAt,-0.3705,ktrwvbntbe,gzpzwdcscr,0.358,-0.1895
-852,ksvxntsbsx,dOG,0.415,568,evnfbtjubu,vgzqnxpats
-630,Cat,20,352,0.314,-525,-0.0395
ktamphxsng,dOG,cAT,-30,CaT,hbhvnbjkwy,CAt
Cat,DOg,105,0.4245,-0.0285,-934,rxxbjkrroj
