agxvcgiflz,extbtluuhm,PeT,iruwbdflpa,lauxkeokmj
oudvxpgagq,-126,cat,-846,-59
-0.076,aigsyuazgl,cAT,239,-0.0595
Dog,wmjzjxgmzy,0.102,dog,njptjtkoil
40,812,cAT,-0.4805,CaT
gimbmasonz,rvstncpyxd,oberptbkva,caT,-0.127
-0.461,0.232,0.434,755,ixhgapwmrt
lauhtvdlqn,doG,-25,-0.1615,caT
340,kqireanjrg,CAT,CaT,-0.4445
-753,vrhmilgvhr,xxsoowhedo,0.07,-0.364
qpfctsropf,cllhegadfc,CaT,904,-0.293
-0.135,-0.0715,omiypncyqm,22,0.0445
-752,-555,doG,0.434,krubqlmnsk
-181,689,DOg,CaT,cat
555,-0.1465,Cat,cfdkrgmjgi,424
bpzarmnuks,276,doG,ivsotifxnn,-20
-275,929,caT,992,areutfayor
0.2115,-145,dog,340,mpwyhwptyq
