jnbobfvcdb,nvkaifvumx,mjdcolqwns
-0.1225,-15,221
-0.4815,0.069,696
bafukbeclp,dOg,0.0965
akuzfohbfz,-0.25,ahnqtuynvo
-742,lbugzszvjb,-0.374
bgiludshhs,-0.445,flrslcmoos
dOg,-36,hrbxwhiuwx
cAt,-0.3525,528
0.228,mtmdgipqxt,0.3585
iphmtdttol,0.2725,311
-0.2825,0.1615,izwztokmjh
-0.413,zazmwijijb,wslzgnbpfu
0.4175,-0.016,zqhudlvqar
ocfznkqyaf,cxekryzbht,plutrsyipd
kozwagmwgw,600,lwejytlkxn
-854,lxzsvalgpe,0.162
69,jfhvymxooc,495
DoG,fympyyiilm,awlnztfnbw
yqjltufiem,hsqjaroqgs,-195
Dog,dOG,0.1575
zevqkjagvn,0.148,dOg
xelgtknepk,dsldfyuoyi,-46
pivavxpqti,jongvnwecz,cqabkuugxe
-98,gbngwadevr,0.3045
qznpugzvgn,-662,0.19
0.2115,fjwfolqcqk,0.403
twrnkbfwll,-637,0.3095
816,fklvepwvvh,0.439
-913,354,cAt
0.2175,0.3275,Cat
1,vfgqggynvm,ejyvewgwdv
nkywbkaord,-0.209,173
wrckczerip,0.126,-0.003
-0.3005,mamrmwkgco,DOg
-613,0.237,dOg
dOg,0.3425,ughctvimzw
660,-0.401,0.299
219,vwzmrmomzz,-835
0.1085,845,0.498
-282,-0.288,aejpyvaxzx
819,-0.4635,apgrelaxou
ydvucwwzrz,0.072,avlcjlmqby
621,-0.244,-0.293
-216,rkzbhnfhmy,dOg
-435,cAt,38
51,cpgiwbqanj,793
dfcdibhubp,dcamnhxybb,0.1845
rkhrbqvbnu,0.284,-909
caT,-839,-0.158
zmctfjtaio,bvrowedxuv,agkxonmojx
0.2215,-0.383,572
-746,-213,doG
0.264,0.16,ajzbxohbij
-696,-991,cat
CaT,eqcjikbcpt,-257
-0.1015,ygynjcqeea,mhdvjnhpnx
CaT,doG,Cat
-641,0.319,DOg
DOG,ianboyrcfi,-2
dOG,22,421
589,75,-0.338
-0.2275,qzmisjpwqy,0.134
550,404,-0.213
-467,0.1015,crtjprppys
843,-0.4475,477
smshqxcsoi,cAT,-737
DoG,0.411,0.4055
-258,kqvdfnajje,zctaiddsbu
313,whzyfnokzb,0.0535
-923,doG,201
raaobeaijo,fsqwuuarzv,0.189
